population,treatment,replicate,tag,date,doy,ndvi,lai,biomass_g
CF,Deep,1,CF 3-1,8/20/17,232,0.27,0.23667724597290793,0.10766153291196534
CF,Deep,2,CF 3-2,8/20/17,232,0.36,0.4711598315940518,0.17378038580496738
CF,Deep,3,CF 3-3,8/20/17,232,0.45,0.9379506931272403,0.28050522478829554
CF,Deep,4,CF 3-4,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
CF,Deep,5,CF 3-5,8/20/17,232,0.52,1.6023032136535278,0.40707292711230536
CF,Deep,6,CF 3-6,8/20/17,232,0.44,0.8688733580376395,0.26597234879651266
TL,Wet,1,TL 2-1,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
TL,Wet,2,TL 2-2,8/20/17,232,0.73,7.98801347677745,1.2441307241318789
TL,Wet,3,TL 2-3,8/20/17,232,0.58,2.5356299386452834,0.5601431362332641
TL,Wet,4,TL 2-4,8/20/17,232,0.73,7.98801347677745,1.2441307241318789
TL,Wet,5,TL 2-5,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
TL,Wet,6,TL 2-6,8/20/17,232,0.79,12.6409570607019,1.7119568492137318
TL,Dry,1,TL 1-1,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
TL,Dry,2,TL 1-2,8/20/17,232,0.42,0.7456060530221711,0.23912641651496003
TL,Dry,3,TL 1-3,8/20/17,232,0.63,3.717093711824644,0.7308383877263881
TL,Dry,4,TL 1-4,8/20/17,232,0.5,1.3749840109900042,0.36598500092614666
TL,Dry,5,TL 1-5,8/20/17,232,0.71,6.854751782652693,1.1185543274854868
TL,Dry,6,TL 1-6,8/20/17,232,0.58,2.5356299386452834,0.5601431362332641
TL,Deep,1,TL 3-1,8/20/17,232,0.59,2.737218072652074,0.5907496664735727
TL,Deep,2,TL 3-2,8/20/17,232,0.63,3.717093711824644,0.7308383877263881
TL,Deep,3,TL 3-3,8/20/17,232,0.45,0.9379506931272403,0.28050522478829554
